Name,Number of Births,,
Cadence,5,,
Elysia,5,,
Erinn,5,,
Fatimah,5,,
Jayda,5,,
Laya,5,,
Liepa,5,,
Liza,5,,
Mira,5,,
Oonagh,5,,
Philippa,5,,
Raya,5,,
Riya,5,,
Sana,5,,
Shirley,5,,
Zosia,5,,
Ellie Rose,5,,
Ferne,5,,
River,5,,
Abdulrahman,5,,
Anton,5,,
Aronas,5,,
Avery,5,,
Bastian,5,,
Bogdan,5,,
Christy,5,,
Cristiano,5,,
Cullen,5,,
Dane,5,,
Dante,5,,
Denas,5,,
Derry,5,,
Devon,5,,
Diego,5,,
Domhnall,5,,
Feilim,5,,
Finbarr,5,,
Fionan,5,,
Freddy,5,,
Graham,5,,
Jaiden,5,,
Jordi,5,,
Josiah,5,,
Julius,5,,
Kaden,5,,
Kamil,5,,
Kane,5,,
Kendrick,5,,
Kenny,5,,
Krzysztof,5,,
Kuba,5,,
Kye,5,,
Kylan,5,,
Kyran,5,,
Larry,5,,
Luan,5,,
Malachi,5,,
Mario,5,,
Matthias,5,,
Mike,5,,
Miles,5,,
Mustafa,5,,
Noa,5,,
Paraic,5,,
Pauric,5,,
Pedro,5,,
Phoenix,5,,
Rayyan,5,,
Regan,5,,
Rhian,5,,
Richie,5,,
Rio,5,,
Ronnie,5,,
Sammy,5,,
Seanan,5,,
Setanta,5,,
Teodor,5,,
Wayne,5,,
Yaseen,5,,
Leanne,4,,
Courtney,4,,
Karen,4,,
Ashling,4,,
Weronika,4,,
Sabrina,4,,
Aislinn,4,,
Favour,4,,
Veronica,4,,
Blessing,4,,
Leyla,4,,
Sive,4,,
Angelina,4,,
Caoilfhionn,4,,
Cerys,4,,
Adriana,4,,
Samanta,4,,
Sarah-Jane,4,,
Valerie,4,,
Julianne,4,,
Olga,4,,
Zarah,4,,
Isabell,4,,
Sheena,4,,
Austeja,4,,
Cayla,4,,
Elaine,4,,
Hayleigh,4,,
Kaitlin,4,,
Aya,4,,
Cassandra,4,,
Goda,4,,
Tiana,4,,
Alise,4,,
Alva,4,,
Cate,4,,
Elisabeth,4,,
Elyse,4,,
Geraldine,4,,
Gianna,4,,
Lilian,4,,
Sabina,4,,
Selina,4,,
Tabitha,4,,
Viktorija,4,,
Winifred,4,,
Adrija,4,,
Alaina,4,,
Aliza,4,,
Amalia,4,,
Bria,4,,
Charli,4,,
Ellie-Mai,4,,
Gaia,4,,
Lilia,4,,
Amelija,4,,
Carlie,4,,
Elly,4,,
Fae,4,,
Inga,4,,
Laylah,4,,
Lilah,4,,
Liz,4,,
Lucja,4,,
Luisne,4,,
Melisa,4,,
Noor,4,,
Peyton,4,,
Reagan,4,,
Reidin,4,,
Rowan,4,,
Sibeal,4,,
Thalia,4,,
Alena,4,,
Anabia,4,,
Ariah,4,,
Arianne,4,,
Ariella,4,,
Asiya,4,,
Blake,4,,
Briella,4,,
Caelyn,4,,
Carys,4,,
Darla,4,,
Delilah,4,,
Eila,4,,
Elisabeta,4,,
Ellis,4,,
Evana,4,,
Evanne,4,,
Haniya,4,,
Indigo,4,,
Jayde,4,,
Kaelyn,4,,
Leen,4,,
Lily-May,4,,
Liv,4,,
Lori,4,,
Melita,4,,
Myra,4,,
Nella,4,,
Ola,4,,
Rahma,4,,
Sama,4,,
Scarlet,4,,
Serah,4,,
Shanaya,4,,
Sheenagh,4,,
Sierra,4,,
Silvia,4,,
Stefania,4,,
Yara,4,,
Remi,4,,
Everly,4,,
Adaline,4,,
Ayana,4,,
Layan,4,,
Naya,4,,
Abel,4,,
Adomas,4,,
Adrians,4,,
Albie,4,,
Alessandro,4,,
Aodh,4,,
Aran,4,,
Arjun,4,,
Armin,4,,
Artem,4,,
Artyom,4,,
Atlas,4,,
Ayan,4,,
Aydin,4,,
Ayman,4,,
Barney,4,,
Bear,4,,
Bence,4,,
Blaine,4,,
Boris,4,,
Braden,4,,
Brady,4,,
Briain,4,,
Brodie,4,,
Bruce,4,,
Bryan,4,,
Cael,4,,
Cezary,4,,
Che,4,,
Cohen,4,,
Cornelius,4,,
Croi,4,,
Daimhin,4,,
Darach,4,,
Darcy,4,,
Davi,4,,
Davie,4,,
Edwin,4,,
Emanuele,4,,
Finbar,4,,
Francesco,4,,
Hadi,4,,
Haris,4,,
Herkus,4,,
Hudson,4,,
Hughie,4,,
Ianis,4,,
Ignas,4,,
Ismail,4,,
Israel,4,,
Jaden,4,,
Jakob,4,,
Jarlath,4,,
Jeffrey,4,,
Jenson,4,,
Jody,4,,
Kal,4,,
Karolis,4,,
Kevinas,4,,
Kingston,4,,
Kobi,4,,
Luc,4,,
Lughaidh,4,,
Maciej,4,,
Malcolm,4,,
Manus,4,,
Marley,4,,
Maxime,4,,
Mayson,4,,
Milosz,4,,
Moise,4,,
Nataniel,4,,
Nate,4,,
Nedas,4,,
Nikolas,4,,
Otis,4,,
Pablo,4,,
Pat,4,,
Paudie,4,,
Pawel,4,,
Reegan,4,,
Reggie,4,,
Rehan,4,,
Reid,4,,
Rex,4,,
Rob,4,,
Roberts,4,,
Rohan,4,,
Roy,4,,
Ruaidhri,4,,
Ruari,4,,
Sami,4,,
Seosamh,4,,
Stanley,4,,
Steve,4,,
Syed,4,,
Tadeusz,4,,
Taigh,4,,
Talha,4,,
Terry,4,,
Theodor,4,,
Thiago,4,,
Timmy,4,,
Torin,4,,
Tudor,4,,
Turlough,4,,
Tyson,4,,
Willie,4,,
Wyatt,4,,
Yi,4,,
